FID,Shape ,AREA,lake_id,Jurisdicti,PERIM,X_CENTER,Y_CENTER,HA,Shape_Leng,Shape_Area,Lat,Lon
47,Polygon,1206.523,72313,YOSE,138.271942,268715.3308,4223921.74,0.120654,138.271942,1206.540492,38.13353861,-119.638871
48,Polygon,264.2891,71151,YOSE,60.942306,273272.1278,4223853.081,0.026429,60.942306,264.293133,38.13407657,-119.5869072
49,Polygon,288.2734,71205,YOSE,65.694906,266431.4974,4223802.85,0.028828,65.694906,288.276269,38.13188019,-119.6648638
50,Polygon,680.1406,71878,YOSE,97.491823,266331.4356,4223737.697,0.068015,97.491823,680.150098,38.13126773,-119.665983
51,Polygon,1553.531,72464,YOSE,173.904214,266191.7542,4223680.587,0.155355,173.904214,1553.547962,38.1307174,-119.6675563
52,Polygon,713.4219,71921,YOSE,113.189104,266305.5469,4223696.783,0.071343,113.189104,713.430155,38.13089268,-119.6662647
53,Polygon,26192.53,70450,YOSE,1086.70903,266154.0476,4223549.154,2.62256,1086.70903,26225.58555,38.12952436,-119.667943
54,Polygon,283.1406,71193,YOSE,63.300716,266295.1722,4223651.048,0.028314,63.300716,283.14415,38.13047824,-119.6663679
55,Polygon,1735.164,72537,YOSE,181.734116,266016.6274,4223616.78,0.173519,181.734116,1735.18628,38.13009758,-119.6695314
56,Polygon,242.7266,71114,YOSE,66.109037,266423.3443,4223625.571,0.024273,66.109037,242.727408,38.13028205,-119.6648987
57,Polygon,1544.469,72462,YOSE,152.545784,266063.3557,4223551.239,0.154449,152.545784,1544.487395,38.12951963,-119.6689773
58,Polygon,904.6563,73058,YOSE,111.373563,266211.7087,4223542.385,0.090467,111.373563,904.667147,38.12947835,-119.6672836
59,Polygon,304.0703,71247,YOSE,81.494597,265786.8159,4223544.836,0.030407,81.494597,304.073703,38.12939028,-119.6721271
60,Polygon,358.4297,71358,YOSE,71.908174,266445.2051,4223531.986,0.035843,71.908174,358.433727,38.12944517,-119.6646189
61,Polygon,147.5234,71015,YOSE,46.794663,265902.6402,4223517.021,0.014753,46.794663,147.526042,38.12916991,-119.6707979
62,Polygon,1071.523,72237,YOSE,143.769887,266269.8395,4223504.985,0.107154,143.769887,1071.535481,38.12915669,-119.6666088
63,Polygon,5869.25,70053,YOSE,362.727968,265894.3703,4223454.527,0.586932,362.727968,5869.320377,38.12860514,-119.6708716
64,Polygon,339.2031,71314,YOSE,70.892254,266483.6543,4223489.289,0.033921,70.892254,339.206716,38.12907071,-119.6641667
65,Polygon,766.1172,71981,YOSE,111.181248,266167.0399,4223471.075,0.076612,111.181248,766.123164,38.12882478,-119.6677693
66,Polygon,1848.711,72576,YOSE,180.943864,266222.7947,4223456.079,0.184873,180.943864,1848.729839,38.12870422,-119.6671289
67,Polygon,272.5625,71170,YOSE,64.202901,266575.7374,4223467.087,0.027257,64.202901,272.565547,38.12889464,-119.6631099
68,Polygon,638.0703,71832,YOSE,96.61802,266590.9897,4223390.853,0.063808,96.61802,638.076689,38.12821226,-119.6629111
69,Polygon,192.3828,71056,YOSE,56.22662,265886.8676,4223382.922,0.019238,56.22662,192.384259,38.12795854,-119.6709336
70,Polygon,2884.258,72812,YOSE,240.652929,265798.397,4223339.947,0.28843,240.652929,2884.297027,38.1275487,-119.6719278
71,Polygon,226.7109,71092,YOSE,58.884217,265333.2009,4223360.861,0.022672,58.884217,226.715078,38.12761619,-119.6772366
72,Polygon,902.5078,72102,YOSE,123.881363,271878.5903,4223348.365,0.090252,123.881363,902.522327,38.1291813,-119.6026305
73,Polygon,849.125,72053,YOSE,112.811281,273577.7945,4223344.05,0.084914,112.811281,849.137208,38.12957023,-119.5832612
74,Polygon,454.0781,71535,YOSE,89.232823,265858.092,4223327.622,0.045408,89.232823,454.085273,38.12745322,-119.6712434
75,Polygon,264.2422,71150,YOSE,60.962807,265451.7248,4223324.446,0.026425,60.962807,264.246173,38.12731915,-119.6758738
76,Polygon,1082.023,72243,YOSE,136.934468,265421.2841,4223285.149,0.108203,136.934468,1082.034642,38.12695746,-119.6762078
77,Polygon,848.6719,72052,YOSE,118.106373,271479.113,4223236.652,0.084868,118.106373,848.682672,38.12807448,-119.607148
78,Polygon,408.5234,71459,YOSE,82.570364,273276.1994,4223232.603,0.040853,82.570364,408.527625,38.12849112,-119.5866635
79,Polygon,517.8125,71647,YOSE,92.814756,273379.1125,4223213.941,0.051782,92.814756,517.819127,38.12834894,-119.5854845
80,Polygon,774.6094,71993,YOSE,120.085733,271813.1709,4223197.034,0.077462,120.085733,774.618191,38.12780228,-119.6033278
81,Polygon,469.9688,71568,YOSE,83.72347,273948.1069,4223172.175,0.046998,83.72347,469.975641,38.12811555,-119.5789858
82,Polygon,501.4375,71611,YOSE,91.334557,273982.7865,4223165.107,0.050144,91.334557,501.444377,38.12806059,-119.5785883
83,Polygon,33508.28,70497,YOSE,948.896847,272136.0659,4223069.752,3.35088,948.896847,33508.75068,38.12673786,-119.5996068
84,Polygon,2088.891,72640,YOSE,178.901722,265562.5221,4223144.062,0.208891,178.901722,2088.912042,38.12572395,-119.6745518
85,Polygon,1960.852,72612,YOSE,197.059606,271471.9618,4223096.321,0.196088,197.059606,1960.877472,38.12680922,-119.6071845
86,Polygon,972.75,72159,YOSE,170.090214,265643.914,4223110.195,0.097276,170.090214,972.764309,38.12544018,-119.673613
87,Polygon,385.9141,71408,YOSE,75.577723,273310.8558,4223094.478,0.038592,75.577723,385.920673,38.12725622,-119.5862246
88,Polygon,287.3438,71203,YOSE,62.8186,273384.5497,4223079.721,0.028735,62.8186,287.348408,38.12714185,-119.5853799
89,Polygon,774.5547,71992,YOSE,105.200788,265603.5933,4223057.788,0.077456,105.200788,774.561766,38.1249579,-119.6740553
90,Polygon,843.2422,72047,YOSE,119.506277,273572.9501,4223037.59,0.084325,119.506277,843.254186,38.12680979,-119.5832191
91,Polygon,343.6953,71324,YOSE,69.351201,271822.562,4223007.549,0.03437,69.351201,343.69972,38.12609865,-119.6031601
92,Polygon,990.375,72174,YOSE,126.233541,276891.7134,4222953.785,0.099039,126.233541,990.3892,38.12688147,-119.5453652
93,Polygon,365.5313,71370,YOSE,69.871691,277552.9504,4222952.322,0.036554,69.871691,365.537719,38.12703147,-119.5378277
94,Polygon,274.0469,71174,YOSE,62.81719,272201.5922,4222916.259,0.027405,62.81719,274.051355,38.12537244,-119.5988109
95,Polygon,1695.25,72517,YOSE,170.039252,277520.9951,4222886.971,0.169528,170.039252,1695.277488,38.12643518,-119.5381716
96,Polygon,2649.891,72774,YOSE,229.690095,262767.9465,4222888.69,0.264992,229.690095,2649.916587,38.12269502,-119.7063158
97,Polygon,556.9453,71712,YOSE,87.869825,273360.5164,4222887.653,0.055695,87.869825,556.952364,38.12540653,-119.5855928
98,Polygon,784.5547,71998,YOSE,117.900828,273436.0126,4222862.925,0.078457,117.900828,784.568384,38.12520284,-119.5847245
99,Polygon,500.0469,71607,YOSE,84.365519,273182.9785,4222673.901,0.050005,84.365519,500.052934,38.12343744,-119.5875483
100,Polygon,234.0938,71099,YOSE,62.447325,272579.8765,4222654.367,0.02341,62.447325,234.097727,38.12310987,-119.5944159
101,Polygon,553.875,71708,YOSE,108.248326,277586.7172,4222620.827,0.055389,108.248326,553.886223,38.12405505,-119.5373395
102,Polygon,6380.133,70080,YOSE,440.189724,262240.0517,4222500.565,0.638019,440.189724,6380.193923,38.11906205,-119.7122024
103,Polygon,314.6016,71269,YOSE,70.676055,262018.3168,4222492.213,0.03146,70.676055,314.60236,38.11892846,-119.7147264
104,Polygon,1365.117,72393,YOSE,166.604253,262255.0726,4222468.466,0.136513,166.604253,1365.128886,38.11877703,-119.7120205
105,Polygon,1867.563,72585,YOSE,163.234017,262346.8311,4222340.231,0.186758,163.234017,1867.5793,38.11764673,-119.7109322
106,Polygon,163.9688,71023,YOSE,47.957317,283256.3695,4222313.823,0.016397,47.957317,163.973877,38.12266954,-119.4726218
107,Polygon,256.1875,71139,YOSE,59.025892,273043.1444,4222308.853,0.025619,59.025892,256.192191,38.12011559,-119.5890259
108,Polygon,23712.94,70429,YOSE,707.765848,266102.8216,4222228.527,2.37132,707.765848,23713.20275,38.1176216,-119.6680938
109,Polygon,1639.156,72493,YOSE,174.032464,283395.6116,4222245.342,0.163921,174.032464,1639.207938,38.12208632,-119.4710139
110,Polygon,328.9219,71299,YOSE,70.689064,269165.7482,4222252.874,0.032893,70.689064,328.926245,38.11862884,-119.6331968
111,Polygon,169.9063,71032,YOSE,49.552993,272947.0578,4222235.112,0.016991,49.552993,169.9085,38.11942752,-119.5900976
112,Polygon,273.6484,71172,YOSE,63.299394,273130.4656,4222213.01,0.027365,63.299394,273.650678,38.11927461,-119.5880003
113,Polygon,242.8359,71116,YOSE,59.501415,272898.4738,4222201.725,0.024284,59.501415,242.839975,38.1191147,-119.5906406
114,Polygon,296.5,71232,YOSE,64.36093,268796.6383,4222173.502,0.02965,64.36093,296.502047,38.11781982,-119.6373775
115,Polygon,261.4453,71145,YOSE,62.147982,268892.4109,4222142.791,0.026145,62.147982,261.447437,38.11756784,-119.6362761
116,Polygon,164.1172,71024,YOSE,52.603997,272345.1291,4222133.118,0.016412,52.603997,164.119825,38.11835768,-119.596925
117,Polygon,696.1094,71900,YOSE,100.495029,264587.7068,4222096.095,0.069612,100.495029,696.118164,38.11603569,-119.6853158
118,Polygon,407.2266,71456,YOSE,79.850214,273274.2127,4222057.391,0.040723,79.850214,407.23332,38.1179096,-119.5863126
119,Polygon,14064.83,70302,YOSE,496.46438,266713.1846,4221992.218,1.4065,496.46438,14064.98313,38.11565197,-119.661061
120,Polygon,577.9453,71746,YOSE,92.394094,264041.5515,4222013.519,0.057795,92.394094,577.952722,38.11514977,-119.691512
121,Polygon,8051.719,70155,YOSE,514.300521,264784.6815,4221924.769,0.805181,514.300521,8051.812723,38.11454459,-119.6830147
122,Polygon,28360.74,70469,YOSE,1012.786599,264945.9505,4221850.463,2.8361,1012.786599,28361.04072,38.11391761,-119.6811526
123,Polygon,18272.26,70371,YOSE,614.63642,262670.3068,4221876.425,1.82724,614.63642,18272.43917,38.11355631,-119.7070918
124,Polygon,39130.89,70518,YOSE,1256.66611,267670.6161,4221790.38,3.91912,1256.66611,39191.18344,38.1140816,-119.6500848
125,Polygon,1839.609,72572,YOSE,172.396519,281347.9766,4221866.896,0.183966,172.396519,1839.662872,38.11818523,-119.4942369
126,Polygon,585640.4,70672,YOSE,8002.572829,271742.5755,4220597.905,58.5663,8002.572829,585662.8159,38.10438345,-119.603301
127,Polygon,1165.547,72288,YOSE,127.378842,272532.0253,4221841.108,0.116557,127.378842,1165.566627,38.11577568,-119.5947019
128,Polygon,543.1328,71696,YOSE,89.476268,263047.2081,4221830.301,0.054314,89.476268,543.138434,38.11324002,-119.7027818
129,Polygon,34714.58,70502,YOSE,721.249194,266264.318,4221687.189,3.4715,721.249194,34714.97016,38.11278977,-119.6660761
130,Polygon,293.9453,71221,YOSE,64.872637,282358.2098,4221796.071,0.029395,64.872637,293.954089,38.11779154,-119.4827013
131,Polygon,1134.742,73060,YOSE,129.849284,267642.2864,4221777.092,0.113475,129.849284,1134.753302,38.11395468,-119.6504033
